draft_round,pos,targets_pg,yards_pg,receptions_pg,roll3_targets,roll3_yards,roll3_receptions,lag_targets,lag_yards,target_share,roll3_long_rec,roll3_target_std,tds_last3,td_streak,td_rate_eb,td_rate_eb_std,lag_snap_pct,roll3_snap_pct,roll3_rz_targets,rz_target_share,rz_td_rate_eb
0,TE,3.0,18.25,2.0,3.0,18.25,2.0,3.0,16.5,0.15,12.0,0.7071067811865476,0.0,0.0,0.04840741917943441,0.011290766982585217,0.59,0.59,0.0,0.0,0.2476481750478776
0,WR,4.0,33.0,3.0,4.0,33.0,3.0,4.0,32.0,0.15,17.0,1.4142135623730951,0.0,0.0,0.048542131190093214,0.011321342789816072,0.475,0.4875,0.0,0.0,0.2476481750478776
1,TE,4.0,32.0,4.0,4.0,32.0,4.0,4.0,33.0,0.203125,13.0,1.4142135623730951,0.0,0.0,0.04800773226936553,0.011200021492496704,0.75,0.74,0.0,0.0,0.2476481750478776
1,WR,6.0,52.25,4.0,6.0,52.25,4.0,6.0,54.5,0.2954963235294118,22.5,1.4142135623730951,0.0,0.0,0.04840741917943441,0.011244551074074023,0.795,0.795,0.0,0.0,0.2476481750478776
2,TE,4.0,27.5,3.0,4.0,27.5,3.0,4.0,27.0,0.140625,11.5,1.4142135623730951,0.0,0.0,0.04827345279337337,0.011260355710293303,0.72,0.71,0.0,0.0,0.2476481750478776
2,WR,5.5,38.5,4.0,5.5,38.5,4.0,5.0,34.5,0.21052631578947367,18.0,2.1213203435596424,0.0,0.0,0.04827345279337337,0.01123010764990045,0.79,0.78,0.0,0.0,0.2476481750478776
3,TE,3.0,23.0,2.0,3.0,23.0,2.0,3.0,23.0,0.13513513513513514,14.0,2.1213203435596424,0.0,0.0,0.04840741917943441,0.011290766982585217,0.64,0.67,0.0,0.0,0.2476481750478776
3,WR,4.0,30.0,3.0,4.0,30.0,3.0,4.0,30.0,0.16666666666666666,17.0,1.4142135623730951,0.0,0.0,0.04840741917943441,0.011260355710293303,0.75,0.75,0.0,0.0,0.2476481750478776
4,TE,3.0,18.0,2.0,3.0,18.0,2.0,3.0,15.0,0.1333570412517781,10.5,1.4142135623730951,0.0,0.0,0.04834043598640389,0.011260355710293303,0.615,0.625,0.0,0.0,0.2476481750478776
4,WR,4.0,31.0,3.0,4.0,31.0,3.0,4.0,31.0,0.16666666666666666,14.0,1.4142135623730951,0.0,0.0,0.04840741917943441,0.011260355710293303,0.7,0.645,0.0,0.0,0.2476481750478776
5,TE,2.0,13.0,1.75,2.0,13.0,1.75,2.0,14.5,0.07334525939177103,9.75,1.0606601717798214,0.0,0.0,0.048542131190093214,0.011321342789816072,0.585,0.5774999999999999,0.0,0.0,0.2476481750478776
5,WR,3.0,26.0,2.0,3.0,26.0,2.0,3.0,26.0,0.14545454545454545,18.5,0.7071067811865476,0.0,0.0,0.04840741917943441,0.011290766982585217,0.63,0.62,0.0,0.0,0.2476481750478776
6,TE,4.5,27.5,2.5,4.5,27.5,2.5,4.5,27.5,0.1039426523297491,17.25,1.4142135623730951,0.0,0.0,0.04840779199173329,0.011259675104270448,0.545,0.51,0.0,0.0,0.2476481750478776
6,WR,2.5,19.0,2.0,2.5,19.0,2.0,2.0,19.0,0.10204081632653061,13.0,1.0606601717798214,0.0,0.0,0.048542131190093214,0.011321342789816072,0.39,0.39,0.0,0.0,0.2476481750478776
7,WR,3.0,22.75,2.25,3.0,22.75,2.25,3.0,18.0,0.13597560975609757,15.75,1.4142135623730951,0.0,0.0,0.04827345279337337,0.011259675104270448,0.46,0.4,0.0,0.0,0.2476481750478776
